year,category,data_item,value,units,period,unit
1994,January 1 inventory,"Replacement heifers, 500+ pounds",4124.5,Thousand head,annual,Thousand head
1994,January 1 inventory,Replacements per 100 cows,43.4,Head,annual,Head
1994,Production indicators,Milk production,153602.0,Million pounds,annual,Million pounds
1994,Production indicators,Milk per cow,16179.0,Pounds,annual,Pounds
1994,Production indicators,Average number of milk cows in the United States,9494.0,Thousand,annual,Thousand
1994,Milk and feed price indicators,Average price paid for milk,13.0,Dollar per hundredweight,annual,Dollar per hundredweight
1994,Milk and feed price indicators,Milk-feed ratio,2.65,Number,annual,Number
1994,Milk and feed price indicators,Dairy feed value,4.93,Dollar per hundredweight,annual,Dollar per hundredweight
1994,Dairy cow indicators,Dairy cow prices,1170.0,Dollars per head,annual,Dollars per head
1994,Dairy cow indicators,Milk volume required to buy a cow,9000.0,Pounds,annual,Pounds
1994,Other indicators,Alfalfa hay price received by farmers,93.63,Dollars per ton,annual,Dollars per ton
1994,Other indicators,Slaughter cow price,45.03,Dollar per hundredweight,annual,Dollar per hundredweight
1995,January 1 inventory,Milk cows and heifers that have calved,9481.8,Thousand head,annual,Thousand head
1995,January 1 inventory,"Replacement heifers, 500+ pounds",4121.3,Thousand head,annual,Thousand head
1995,January 1 inventory,Replacements per 100 cows,43.5,Head,annual,Head
1995,Production indicators,Milk production,155292.0,Million pounds,annual,Million pounds
1995,Production indicators,Milk per cow,16405.0,Pounds,annual,Pounds
1995,Production indicators,Average number of milk cows in the United States,9466.0,Thousand,annual,Thousand
1995,Milk and feed price indicators,Average price paid for milk,12.7,Dollar per hundredweight,annual,Dollar per hundredweight
1995,Milk and feed price indicators,Milk-feed ratio,2.59,Number,annual,Number
1995,Milk and feed price indicators,Dairy feed value,4.91,Dollar per hundredweight,annual,Dollar per hundredweight
1995,Dairy cow indicators,Dairy cow prices,1127.5,Dollars per head,annual,Dollars per head
1995,Dairy cow indicators,Milk volume required to buy a cow,8878.0,Pounds,annual,Pounds
1995,Other indicators,Alfalfa hay price received by farmers,88.09,Dollars per ton,annual,Dollars per ton
1995,Other indicators,Slaughter cow price,38.12,Dollar per hundredweight,annual,Dollar per hundredweight
1996,January 1 inventory,Milk cows and heifers that have calved,9419.9,Thousand head,annual,Thousand head
