"Year","Category","Data_item","Value","Units"
2002,"January 1 inventory","Milk cows and heifers that have calved",9105.6,"Thousand head"
2002,"January 1 inventory","Replacement heifers, 500+ pounds",4054.8,"Thousand head"
2002,"January 1 inventory","Replacements per 100 cows",44.5,"Head"
2002,"Production indicators","Milk production",170063,"Million pounds"
2002,"Production indicators","Milk per cow",18608,"Pounds"
2002,"Production indicators","Average number of milk cows in the United States",9139,"Thousand"
2002,"Milk and feed price indicators","Average price paid for milk",12.1,"Dollar per hundredweight"
2002,"Milk and feed price indicators","Milk-feed ratio",2.6,"Number"
2002,"Milk and feed price indicators","Dairy feed value",4.65,"Dollar per hundredweight"
2002,"Dairy cow indicators","Dairy cow prices",1605,"Dollars per head"
2002,"Dairy cow indicators","Milk volume required to buy a cow",13264,"Pounds"
2002,"Other indicators","Alfalfa hay price received by farmers",101.3,"Dollars per ton"
2002,"Other indicators","Slaughter cow price",40.09,"Dollar per hundredweight"
2003,"January 1 inventory","Milk cows and heifers that have calved",9141.7,"Thousand head"
2003,"January 1 inventory","Replacement heifers, 500+ pounds",4113.9,"Thousand head"
2003,"January 1 inventory","Replacements per 100 cows",45,"Head"
2003,"Production indicators","Milk production",170348,"Million pounds"
2003,"Production indicators","Milk per cow",18759,"Pounds"
2003,"Production indicators","Average number of milk cows in the United States",9081,"Thousand"
2003,"Milk and feed price indicators","Average price paid for milk",12.5,"Dollar per hundredweight"
2003,"Milk and feed price indicators","Milk-feed ratio",2.61,"Number"
2003,"Milk and feed price indicators","Dairy feed value",4.79,"Dollar per hundredweight"
2003,"Dairy cow indicators","Dairy cow prices",1342.5,"Dollars per head"
2003,"Dairy cow indicators","Milk volume required to buy a cow",10740,"Pounds"
2003,"Other indicators","Alfalfa hay price received by farmers",94.03,"Dollars per ton"
2003,"Other indicators","Slaughter cow price",42.99,"Dollar per hundredweight"
2004,"January 1 inventory","Milk cows and heifers that have calved",8987.5,"Thousand head"
2004,"January 1 inventory","Replacement heifers, 500+ pounds",4018,"Thousand head"
2004,"January 1 inventory","Replacements per 100 cows",44.7,"Head"
2004,"Production indicators","Milk production",170832,"Million pounds"
2004,"Production indicators","Milk per cow",18960,"Pounds"
2004,"Production indicators","Average number of milk cows in the United States",9010,"Thousand"
2004,"Milk and feed price indicators","Average price paid for milk",16.1,"Dollar per hundredweight"
2004,"Milk and feed price indicators","Milk-feed ratio",3.1,"Number"
2004,"Milk and feed price indicators","Dairy feed value",5.19,"Dollar per hundredweight"
2004,"Dairy cow indicators","Dairy cow prices",1582.5,"Dollars per head"
2004,"Dairy cow indicators","Milk volume required to buy a cow",9829,"Pounds"
2004,"Other indicators","Alfalfa hay price received by farmers",95.13,"Dollars per ton"
2004,"Other indicators","Slaughter cow price",52.66,"Dollar per hundredweight"
2005,"January 1 inventory","Milk cows and heifers that have calved",9003.5,"Thousand head"
2005,"January 1 inventory","Replacement heifers, 500+ pounds",4116.6,"Thousand head"
2005,"January 1 inventory","Replacements per 100 cows",45.7,"Head"
2005,"Production indicators","Milk production",176931,"Million pounds"
2005,"Production indicators","Milk per cow",19550,"Pounds"
2005,"Production indicators","Average number of milk cows in the United States",9050,"Thousand"
2005,"Milk and feed price indicators","Average price paid for milk",15.1,"Dollar per hundredweight"
2005,"Milk and feed price indicators","Milk-feed ratio",3.24,"Number"
2005,"Milk and feed price indicators","Dairy feed value",4.66,"Dollar per hundredweight"
2005,"Dairy cow indicators","Dairy cow prices",1772.5,"Dollars per head"
2005,"Dairy cow indicators","Milk volume required to buy a cow",11738,"Pounds"
2005,"Other indicators","Alfalfa hay price received by farmers",102.53,"Dollars per ton"
2005,"Other indicators","Slaughter cow price",53.94,"Dollar per hundredweight"
2006,"January 1 inventory","Milk cows and heifers that have calved",9103.9,"Thousand head"
2006,"January 1 inventory","Replacement heifers, 500+ pounds",4298,"Thousand head"
2006,"January 1 inventory","Replacements per 100 cows",47.2,"Head"
2006,"Production indicators","Milk production",181782,"Million pounds"
2006,"Production indicators","Milk per cow",19895,"Pounds"
2006,"Production indicators","Average number of milk cows in the United States",9137,"Thousand"
2006,"Milk and feed price indicators","Average price paid for milk",12.9,"Dollar per hundredweight"
2006,"Milk and feed price indicators","Milk-feed ratio",2.57,"Number"
2006,"Milk and feed price indicators","Dairy feed value",5.02,"Dollar per hundredweight"
2006,"Dairy cow indicators","Dairy cow prices",1735,"Dollars per head"
2006,"Dairy cow indicators","Milk volume required to buy a cow",13450,"Pounds"
2006,"Other indicators","Alfalfa hay price received by farmers",107.71,"Dollars per ton"
2006,"Other indicators","Slaughter cow price",49.08,"Dollar per hundredweight"
2007,"January 1 inventory","Milk cows and heifers that have calved",9144.5,"Thousand head"
2007,"January 1 inventory","Replacement heifers, 500+ pounds",4324.9,"Thousand head"
2007,"January 1 inventory","Replacements per 100 cows",47.3,"Head"
2007,"Production indicators","Milk production",185654,"Million pounds"
2007,"Production indicators","Milk per cow",20204,"Pounds"
2007,"Production indicators","Average number of milk cows in the United States",9189,"Thousand"
2007,"Milk and feed price indicators","Average price paid for milk",19.1,"Dollar per hundredweight"
2007,"Milk and feed price indicators","Milk-feed ratio",2.8,"Number"
2007,"Milk and feed price indicators","Dairy feed value",6.82,"Dollar per hundredweight"
2007,"Dairy cow indicators","Dairy cow prices",1840,"Dollars per head"
2007,"Dairy cow indicators","Milk volume required to buy a cow",9634,"Pounds"
2007,"Other indicators","Alfalfa hay price received by farmers",130.58,"Dollars per ton"
2007,"Other indicators","Slaughter cow price",49.51,"Dollar per hundredweight"
2008,"January 1 inventory","Milk cows and heifers that have calved",9257,"Thousand head"
2008,"January 1 inventory","Replacement heifers, 500+ pounds",4415,"Thousand head"
2008,"January 1 inventory","Replacements per 100 cows",47.7,"Head"
2008,"Production indicators","Milk production",189978,"Million pounds"
2008,"Production indicators","Milk per cow",20397,"Pounds"
2008,"Production indicators","Average number of milk cows in the United States",9314,"Thousand"
2008,"Milk and feed price indicators","Average price paid for milk",18.3,"Dollar per hundredweight"
2008,"Milk and feed price indicators","Milk-feed ratio",2.01,"Number"
2008,"Milk and feed price indicators","Dairy feed value",9.1,"Dollar per hundredweight"
2008,"Dairy cow indicators","Dairy cow prices",1950,"Dollars per head"
2008,"Dairy cow indicators","Milk volume required to buy a cow",10656,"Pounds"
2008,"Other indicators","Alfalfa hay price received by farmers",161.33,"Dollars per ton"
2008,"Other indicators","Slaughter cow price",51.44,"Dollar per hundredweight"
2009,"January 1 inventory","Milk cows and heifers that have calved",9332.8,"Thousand head"
2009,"January 1 inventory","Replacement heifers, 500+ pounds",4409.5,"Thousand head"
2009,"January 1 inventory","Replacements per 100 cows",47.2,"Head"
2009,"Production indicators","Milk production",189202,"Million pounds"
2009,"Production indicators","Milk per cow",20561,"Pounds"
2009,"Production indicators","Average number of milk cows in the United States",9202,"Thousand"
2009,"Milk and feed price indicators","Average price paid for milk",12.8,"Dollar per hundredweight"
2009,"Milk and feed price indicators","Milk-feed ratio",1.78,"Number"
2009,"Milk and feed price indicators","Dairy feed value",7.19,"Dollar per hundredweight"
2009,"Dairy cow indicators","Dairy cow prices",1385,"Dollars per head"
2009,"Dairy cow indicators","Milk volume required to buy a cow",10820,"Pounds"
2009,"Other indicators","Alfalfa hay price received by farmers",122.92,"Dollars per ton"
2009,"Other indicators","Slaughter cow price",44.38,"Dollar per hundredweight"
2010,"January 1 inventory","Milk cows and heifers that have calved",9086.5,"Thousand head"
2010,"January 1 inventory","Replacement heifers, 500+ pounds",4551.2,"Thousand head"
2010,"January 1 inventory","Replacements per 100 cows",50.1,"Head"
2010,"Production indicators","Milk production",192877,"Million pounds"
